Event,Details,Gender,Day,Date,Start Time,End Time,Duration,Venue,Lat,Lon,Dist
Archery,Individual: 1/8 eliminations,Men,Fri,3-Aug,9:00,10:45,1:45,"Lord's Cricket Ground, London ",51.52950499,-0.172798634,200
Archery,"Individual: quarter-finals, semi-finals, bronze medal match, gold medal match, victory ceremony",Men,Fri,3-Aug,14:00,16:20,2:20,"Lord's Cricket Ground, London ",51.52950499,-0.172798634,200
Archery,"Individual: quarter-finals, semi-finals, bronze medal match, gold medal match, victory ceremony",Men,Fri,3-Aug,14:00,16:20,2:20,"Lord's Cricket Ground, London",51.52950499,-0.172798634,200
Archery,"Individual: quarter-finals, semi-finals, bronze medal match, gold medal match, victory ceremony",Men,Fri,3-Aug,14:00,16:20,2:20,"Lord's Cricket Ground, London",51.52950499,-0.172798634,200
Archery,"Individual: quarter-finals, semi-finals, bronze medal match, gold medal match, victory ceremony",Men,Fri,3-Aug,14:00,16:20,2:20,"Lord's Cricket Ground, London",51.52950499,-0.172798634,200
Archery,"Individual: quarter-finals, semi-finals, bronze medal match, gold medal match, victory ceremony",Men,Fri,3-Aug,14:00,16:20,2:20,"Lord's Cricket Ground, London",51.52950499,-0.172798634,200
Archery,Individual: ranking round,Men,Fri,27-Jul,9:00,11:00,2:00,"Lord's Cricket Ground, London ",51.52950499,-0.172798634,200
Archery,Team: 1/8 eliminations,Men,Sat,28-Jul,9:00,12:20,3:20,"Lord's Cricket Ground, London ",51.52950499,-0.172798634,200
Archery,"Team: quarter-finals, semi-finals, bronze medal match, gold medal match, victory ceremony",Men,Sat,28-Jul,15:00,19:00,4:00,"Lord's Cricket Ground, London ",51.52950499,-0.172798634,200
Archery,Individual: 1/32 & 1/16 eliminations Individual: 1/32 & 1/16 eliminations,Men & Women,Mon,30-Jul,9:00,13:00,4:00,"Lord's Cricket Ground, London ",51.52950499,-0.172798634,200
Archery,Individual: 1/32 & 1/16 eliminations Individual: 1/32 & 1/16 eliminations,Men & Women,Mon,30-Jul,15:00,17:40,2:40,"Lord's Cricket Ground, London ",51.52950499,-0.172798634,200
Archery,Individual: 1/32 & 1/16 eliminations Individual: 1/32 & 1/16 eliminations,Men & Women,Tue,31-Jul,9:00,13:00,4:00,"Lord's Cricket Ground, London ",51.52950499,-0.172798634,200
Archery,Individual: 1/32 & 1/16 eliminations Individual: 1/32 & 1/16 eliminations,Men & Women,Tue,31-Jul,15:00,17:40,2:40,"Lord's Cricket Ground, London ",51.52950499,-0.172798634,200
Archery,Individual: 1/32 & 1/16 eliminations Individual: 1/32 & 1/16 eliminations,Men & Women,Wed,1-Aug,9:00,13:00,4:00,"Lord's Cricket Ground, London ",51.52950499,-0.172798634,200
